"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 21.03 00:00,Änderungsrate (24 Std. bis 21.03 00:00),Coronavirus Fälle heute (verifiziert),CV-Fälle Tagespiegel Verifizierung,Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),"Coronavirus Fälle heute (verifiziert, blockiert) 23:25","Coronavirus Todesfälle heute (verifiziert, blockiert)",Todesfall Quelle,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Wuppertal,Kreisfreie Stadt,5124,74,21%,74,,https://www.wuppertal.de/presse/meldungen/meldungen-2020/februar20/corona-virus-information.php,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,20/03/2020 22:04:48,74,,,,,,,,0,,,0,0,74,,,,,,,,,,,5,1
Bergstraße,Landkreis,6431,47,27%,47,,https://www.kreis-bergstrasse.de/magazin/artikel.php?artikel=7325&menuid=473&topmenu=467,https://www.kreis-bergstrasse.de/magazin/artikel.php?artikel=7325&menuid=473&topmenu=467,20/03/2020 19:20:00,47,,,2,,,,,0,,,0,0,47,,,,,,,,,,,6,1
Darmstadt,Kreisfreie Stadt,6411,21,31%,21,,https://www.darmstadt.de/nachrichten/darmstadt-aktuell/news/x-1,https://www.darmstadt.de/nachrichten/darmstadt-aktuell/news/ausbreitung-des-coronavirus,20/03/2020 19:23:00,21,,,2,,,,,0,,,0,0,21,,,,,,,,,,,6,1
Darmstadt-Dieburg,Landkreis,6432,62,138%,62,,https://perspektive.ladadi.de/index.php?id=137,https://perspektive.ladadi.de/index.php?id=137,20/03/2020 16:00:00,62,,,,,,,,0,,,0,0,62,,,,,,,,,,,6,1
Frankfurt am Main,Kreisfreie Stadt,6412,122,28%,122,,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,20/03/2020 14:00:00,122,,,,,,,,0,,,0,0,122,,,,,,,,,,,6,1
Fulda,Landkreis,6631,73,3%,73,,https://www.landkreis-fulda.de/buergerservice/gesundheit/aktuelles#c11139,https://www.landkreis-fulda.de/buergerservice/gesundheit/aktuelles#c11139,20/03/2020 14:00:00,73,,,,,,,,0,,,0,0,73,,,,,,,,,,,6,1
Gießen,Landkreis,6531,56,19%,56,,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,20/03/2020 19:29:00,56,2,,2,,,,,0,,,0,0,56,,,,,,,,,,,6,1
Groß-Gerau,Landkreis,6433,48,92%,48,,"https://www.gross-gerau.de/Quicknavigation/Startseite/Corona_BGM_Aufruf.php?object=tx,2289.7&ModID=7&FID=2289.15595.1&NavID=2289.1&NavID=2289.68",https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,20/03/2020 14:00:00,48,,,,,,,,0,,,0,0,48,,,,,,,,,,,6,1
Hersfeld-Rotenburg,Landkreis,6632,29,45%,29,,https://www.hef-rof.de/presse/nachrichten-archiv/1566-zwei-neue-corona-faelle-im-landkreis,https://www.hef-rof.de/presse/nachrichten-archiv/1566-zwei-neue-corona-faelle-im-landkreis,20/03/2020 16:00:00,29,6,,,,,,,0,,,0,0,29,,,,,,,,,,,6,1
Hochtaunuskreis,Landkreis,6434,52,30%,52,,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Lage%C3%BCbersicht.html,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,20/03/2020 14:00:00,52,,,,,,,,0,,,0,0,52,,,,,,,,,,,6,1
Kassel,Kreisfreie Stadt,6611,38,12%,43,,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,20/03/2020 22:04:48,43,,38,6/2,,21/03/2020 10:30,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,@JamesEDaniell,5,@RR_ralfr,@Perix,1,0,38,,,,,,,,,,,6,1.131578947
Kassel,Landkreis,6633,38,19%,39,,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,20/03/2020 22:04:48,39,,33,5/1,,21/03/2020 10:30,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,@JamesEDaniell,1,@RR_ralfr,@Perix,1,0,38,,,,,,,,,,,6,1.026315789
Lahn-Dill-Kreis,Landkreis,6532,66,187%,66,,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,20/03/2020 19:36:00,66,,,,,,,,0,,,0,0,66,,,,,,,,,,,6,1
Limburg-Weilburg,Landkreis,6533,45,25%,57,,https://www.landkreis-limburg-weilburg.de/,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,20/03/2020 19:37:00,57,,,,,21/03/2020 13:19:16,https://www.landkreis-limburg-weilburg.de/,@JamesEDaniell,12,@RR_ralfr,@Stuqa,1,0,45,,,,,,,,,,,6,1.266666667
Main-Kinzig-Kreis,Landkreis,6435,64,16%,64,,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1174336.html,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1174336.html,20/03/2020 19:40:00,64,1,,2,,,,,0,,,0,0,64,,,,,,,,,,,6,1
Main-Taunus-Kreis,Landkreis,6436,40,43%,40,,https://www.mtk.org/Coronavirus-8588.htm,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,20/03/2020 14:00:00,40,,,,,,,,0,,,0,0,40,,,,,,,,,,,6,1
Marburg-Biedenkopf,Landkreis,6534,44,2%,44,,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/03/102-2020-Corona-Folgemeldung-9.php,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/03/102-2020-Corona-Folgemeldung-9.php,20/03/2020 22:04:48,44,,,,,,,,0,,,0,0,44,,,,,,,,,,,6,1
Odenwaldkreis,Landkreis,6437,16,23%,16,,https://www.odenwaldkreis.de/index.php?id=195&tx_news_pi1%5Bnews%5D=2191&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=b0b9d51ec2c8419190d90b958dd40c06,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,20/03/2020 19:45:00,16,,,,,,,,0,,,0,0,16,,,,,,,,,,,6,1
Offenbach,Landkreis,6438,65,30%,65,,"https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona/Kreisverwaltung-schlie%C3%9Ft-f%C3%BCr-das-Publikum-komplett.php?object=tx,2896.5&ModID=7&FID=2896.8447.1&NavID=2896.1061&La=1",https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,20/03/2020 19:47:00,65,,,3,1,,,,0,,,0,0,65,,,,,,,,,,,6,1
Offenbach am Main,Kreisfreie Stadt,6413,6,20%,6,,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/coronavirus.php#c0,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/coronavirus.php#c0,20/03/2020 19:48:00,6,,,,,,,,0,,,0,0,6,,,,,,,,,,,6,1
Rheingau-Taunus-Kreis,Landkreis,6439,26,-19%,26,,https://www.rheingau-taunus.de/aktuelles/hinweise/detail/informationen-zum-coronavirus.html,https://www.rheingau-taunus.de/aktuelles/hinweise/detail/informationen-zum-coronavirus.html,20/03/2020 19:50:00,26,,,,,,,,0,,,0,0,26,,,,,,,,,,,6,1
Schwalm-Eder-Kreis,Landkreis,6634,66,6%,66,,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,20/03/2020 22:04:48,66,,,,,,,,0,,,0,0,66,,,,,,,,,,,6,1
Vogelsbergkreis,Landkreis,6535,17,13%,17,,https://www.vogelsbergkreis.de/kreisverwaltung/presse/ansicht.html?tx_ttnews%5Btt_news%5D=8565&cHash=356a8df8b497242be96eb2f519321ea3,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,20/03/2020 14:00:00,17,1,,,,,,,0,,,0,0,17,,,,,,,,,,,6,1
Waldeck-Frankenberg,Landkreis,6635,25,19%,25,,https://www.landkreis-waldeck-frankenberg.de/city_info/webaccessibility/index.cfm?modul_id=2&record_id=109129,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,20/03/2020 14:00:00,25,,,,,,,,0,,,0,0,25,,,,,,,,,,,6,1
Werra-Meißner-Kreis,Landkreis,6636,2,100%,2,,https://www.werra-meissner-kreis.de/fileadmin/01_Homepage_Kreisverwaltung/Fachbereiche_und_Einrichtungen/VL_Stab_Verwaltungsleitung_und_-steuerung/POE_Presse_und_Oeffentlichkeitsarbeit_Buergerreferent_Kultur/Presse-_und_OEffentlichkeitsarbeit/Pressemitteilungen/Pressemitteilungen_2020/03_Maerz/20.03.16_Erster_Coronafall_WMK.pdf,https://www.werra-meissner-kreis.de/fileadmin/01_Homepage_Kreisverwaltung/Fachbereiche_und_Einrichtungen/VL_Stab_Verwaltungsleitung_und_-steuerung/POE_Presse_und_Oeffentlichkeitsarbeit_Buergerreferent_Kultur/Presse-_und_OEffentlichkeitsarbeit/Pressemitteilungen/Pressemitteilungen_2020/03_Maerz/20.03.16_Erster_Coronafall_WMK.pdf,20/03/2020 14:00:00,2,,,,,,,,0,,,0,0,2,,,,,,,,,,,6,1
Wetteraukreis,Landkreis,6440,26,0%,26,,https://www.wetteraukreis.de/aktuelles/corona/pressemitteilungen-corona/detail/news/gemeinsames-schreiben-der-kreisspitze-zu-corona/,https://www.wetteraukreis.de/aktuelles/corona/pressemitteilungen-corona/detail/news/gemeinsames-schreiben-der-kreisspitze-zu-corona/,20/03/2020 23:13:00,26,,,,,,,,0,,,0,0,26,,,,,,,,,,,6,1
Wiesbaden,Kreisfreie Stadt,6414,59,23%,59,,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus.php,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus.php,20/03/2020 15:00:00,59,,,,1,,,,0,,,0,0,59,,,,,,,,,,,6,1
Ahrweiler,Landkreis,7131,31,29%,31,,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9069,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9072,20/03/2020 23:47:51,31,,121,0,,,,,0,,,0,0,31,,,20,,,,,,,,7,1
Altenkirchen (Westerwald),Landkreis,7132,13,18%,13,,"https://www.kreis-altenkirchen.de/INTERNET/Quicknavigation/Startseite-Kreis-Altenkirchen/Corona-Landkreis-Altenkirchen-will-Klarheit-zu-Veranstaltungsabsagen.php?object=tx,2154.7&ModID=7&FID=2333.4870.1&NavID=2154.2&NavID=2154.12","https://www.kreis-altenkirchen.de/INTERNET/Quicknavigation/Startseite-Kreis-Altenkirchen/Corona-Landkreis-Altenkirchen-will-Klarheit-zu-Veranstaltungsabsagen.php?object=tx,2154.7&ModID=7&FID=2333.4870.1&NavID=2154.2&NavID=2154.12",20/03/2020 23:47:51,13,,,0,,,,,0,,,0,0,13,,,,,,,,,,,7,1
Alzey-Worms,Landkreis,7331,59,20%,59,,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/corona-virus.php,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/meldungen/2020_03_18_3780787059_meldung.php,20/03/2020 23:47:52,59,,,,,,,,0,,,0,0,59,,,33,3/19/2020 21:12,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/meldungen/2020_03_19_1826517263_meldung.php,,,,,,7,1
Bad Dürkheim,Landkreis,7332,56,17%,56,,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,20/03/2020 23:47:51,56,,,,,,,,0,,,0,0,56,,,,,,,,,,,7,1
Bad Kreuznach,Landkreis,7133,42,40%,42,,https://www.kreis-badkreuznach.de/kreisverwaltung/organisation/amt-7-gesundheitsamt/coronavirus/aktuellste-meldung-aus-dem-landkreis/,https://www.kreis-badkreuznach.de/kreisverwaltung/organisation/amt-7-gesundheitsamt/coronavirus/aktuellste-meldung-aus-dem-landkreis/,20/03/2020 23:47:52,42,,,,,,,,0,,,0,0,42,,,,,,,,,,,7,1
Bernkastel-Wittlich,Landkreis,7231,18,13%,18,,https://www.bernkastel-wittlich.de/aktuelles/details/news/zwei-weitere-covid-19-faelle-im-landkreis-bernkastel-wittlich/,https://www.bernkastel-wittlich.de/aktuelles/details/news/zwei-weitere-covid-19-faelle-im-landkreis-bernkastel-wittlich/,20/03/2020 23:47:52,18,,,,,,,,0,,,0,0,18,,,,,,,,,,,7,1
Birkenfeld,Landkreis,7134,5,0%,5,,https://www.birkenfeld-enzkreis.de/buergerservice/corona/aktuelle-informationen-zum-corona-virus-id_2629/,https://www.birkenfeld-enzkreis.de/buergerservice/corona/aktuelle-informationen-zum-corona-virus-id_2629/,20/03/2020 21:49:00,5,,,,,,,,0,,,0,0,5,,,,,,,,,,,7,1
Cochem-Zell,Landkreis,7135,43,13%,43,,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Informationen%20%C3%BCber%20das%20Coronavirus/Gesundheitsamt%20informiert%20%C3%BCber%20den%20aktuellen%20Stand%20der%20Corona-F%C3%A4lle%20im%20Landkreis%20und%20appelliert%20weiterhin%20an%20die%20Eigenverantwortung/,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Aktuelle%20Coronafallzahlen%20im%20Landkreis%20Cochem-Zell/,20/03/2020 22:04:48,43,,,,,,,,0,,,0,0,43,,,,,,,,,,,7,1
Donnersbergkreis,Landkreis,7333,24,85%,24,,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/M%C3%A4rz/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20M%C3%A4rz/,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/März/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20März/,20/03/2020 23:47:52,24,,,,,,,,0,,,0,0,24,,,,,,,,,,,7,1
Eifelkreis Bitburg-Prüm,Landkreis,7232,32,10%,32,,https://www.bitburg-pruem.de/cms/aktuell/pressemitteilungen,https://www.bitburg-pruem.de/cms/aktuell/pressemitteilungen,20/03/2020 23:47:52,32,,,,,,,,0,,,0,0,32,,,,,,,,,,,7,1
Frankenthal (Pfalz),Kreisfreie Stadt,7311,9,13%,9,,https://www.facebook.com/Stadt.Frankenthal.Pfalz,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,20/03/2020 23:47:51,9,,,,,,,,0,,,0,0,9,,,,,,,,,,,7,1
Germersheim,Landkreis,7334,27,13%,27,,https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Coronavirus%20-%20Zehn%20positive%20F%C3%A4lle%20im%20Landkreis%20Germersheim%20best%C3%A4tigt/,https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Coronavirus%20-%2020%20positive%20Fälle%20im%20Landkreis%20Germersheim%20bestätigt/,20/03/2020 23:47:51,27,,,,,,,,0,,,0,0,27,,,,,,,,,,,7,1
Kaiserslautern,Kreisfreie Stadt,7312,12,-8%,12,,https://www.kaiserslautern-kreis.de/aktuelles.html,https://www.kaiserslautern-kreis.de/aktuelles.html,20/03/2020 23:47:52,12,,,,,,,,0,,,0,0,12,,,,,,,,,,,7,1
Kaiserslautern,Landkreis,7335,20,54%,20,,https://www.kaiserslautern-kreis.de/aktuelles.html,https://www.kaiserslautern-kreis.de/aktuelles.html,20/03/2020 23:47:51,20,,,,,,,,0,,,0,0,20,,,,,,,,,,,7,1
Koblenz,Kreisfreie Stadt,7111,51,21%,51,,https://www.koblenz.de/aktuelles/coronavirus/,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,20/03/2020 23:47:52,51,,,,,,,,0,,,0,0,51,,,,,,,,,,,7,1
Kusel,Landkreis,7336,18,0%,18,,https://landkreis-kusel.de/no_cache/aktuelles/news.html,https://landkreis-kusel.de/aktuelles/coronavirus-wichtige-hinweise-und-aktuelle-informationen/aktuelle-informationen.html,20/03/2020 21:48:00,18,,,,,,,,0,,,0,0,18,,,,,,,,,,,7,1
Landau in der Pfalz,Kreisfreie Stadt,7313,4,0%,4,,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,20/03/2020 22:04:48,4,,,,,,,,0,,,0,0,4,,,,,,,,,,,7,1
Ludwigshafen am Rhein,Kreisfreie Stadt,7314,13,8%,13,,https://www.ludwigshafen.de/buergernah/buergerservice/informationen-zum-coronavirus/informationen-des-gesundheitsamts-des-rhein-pfalz-kreises/,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,20/03/2020 23:47:52,13,,,,,,,,0,,,0,0,13,,,,,,,,,,,7,1
Mainz,Kreisfreie Stadt,7315,55,22%,55,,https://mainz.de/verwaltung-und-politik/buergerservice-online/schutz-gegen-corona-infektionen.php,https://msagd.rlp.de/de/unsere-themen/gesundheit-und-pflege/gesundheitliche-versorgung/oeffentlicher-gesundheitsdienst-hygiene-und-infektionsschutz/infektionsschutz/informationen-zum-coronavirus-sars-cov-2/,20/03/2020 23:47:52,55,,,,,,,,0,,,0,0,55,,,,,,,,,,,7,1
Mainz-Bingen,Landkreis,7339,37,23%,37,,https://www.mainz-bingen.de/de/aktuelles/Corona.php,https://www.mainz-bingen.de/de/aktuelles/Corona.php,20/03/2020 23:47:52,37,,,,,,,,0,,,0,0,37,,,,,,,,,,,7,1
Mayen-Koblenz,Landkreis,7137,108,6%,108,,https://www.kvmyk.de/kv_myk/Slideshow/Corona-Ticker/,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,20/03/2020 23:47:51,108,,,,1,,,,0,,,0,0,108,,,,,,,,,,,7,1
Neustadt an der Weinstraße,Kreisfreie Stadt,7316,8,0%,8,,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,https://msagd.rlp.de/de/unsere-themen/gesundheit-und-pflege/gesundheitliche-versorgung/oeffentlicher-gesundheitsdienst-hygiene-und-infektionsschutz/infektionsschutz/informationen-zum-coronavirus-sars-cov-2/,20/03/2020 23:47:51,8,,,,,,,,0,,,0,0,8,,,,,,,,,,,7,1
Neuwied,Landkreis,7138,61,17%,61,,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/Vierzehnter%20Coronafall%20im%20Landkreis%20Neuwied%20-%20%20Hygienema%C3%9Fnahmen%20beachten%20-%20Hinweise%20der%20Kassen%C3%A4rztlichen%20Vereinigung/,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/Vierzehnter%20Coronafall%20im%20Landkreis%20Neuwied%20-%20%20Hygienema%C3%9Fnahmen%20beachten%20-%20Hinweise%20der%20Kassen%C3%A4rztlichen%20Vereinigung/,20/03/2020 23:47:52,61,,,,,,,,0,,,0,0,61,,,,,,,,,,,7,1
Pirmasens,Kreisfreie Stadt,7317,1,0%,1,,https://www.pirmasens-land.de/vg_pirmasens_land/Aktuelles/Aktuelle%20Elterninformation%20zur%20Schlie%C3%9Fung%20der%20Kindertagesst%C3%A4tten%20in%20Rheinland-Pfalz/,https://www.pirmasens-land.de/vg_pirmasens_land/Aktuelles/Aktuelle%20Elterninformation%20zur%20Schlie%C3%9Fung%20der%20Kindertagesst%C3%A4tten%20in%20Rheinland-Pfalz/,20/03/2020 22:04:48,1,,,,,,,,0,,,0,0,1,,,,,,,,,,,7,1
Rhein-Hunsrück-Kreis,Landkreis,7140,46,18%,46,,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,20/03/2020 23:47:52,46,,,,,,,,0,,,0,0,46,,,39,21/03/2020 14:28:18,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,@MKayCedar,,,,,7,1
Rhein-Lahn-Kreis,Landkreis,7141,33,22%,33,,https://www.rhein-lahn-kreis.de/aktuelles/corona/corona-aktueller-stand-15-3/,https://www.rhein-lahn-kreis.de/aktuelles/corona/corona-aktueller-stand-18-3/,20/03/2020 23:47:52,33,,,,,,,,0,,,0,0,33,,,,,,,,,,,7,1
Rhein-Pfalz-Kreis,Landkreis,7338,10,43%,10,,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,20/03/2020 23:47:52,10,,,,,,,,0,,,0,0,10,,,,,,,,,,,7,1
Speyer,Kreisfreie Stadt,7318,9,13%,9,,https://www.speyer.de/sv_speyer/de/Rathaus/Medien-Infos/Aktuelle%20Infos/Aktuelle%20Informationen%20zum%20Coronavirus/,https://www.speyer.de/sv_speyer/de/Rathaus/Medien-Infos/Aktuelle%20Infos/Aktuelle%20Informationen%20zum%20Coronavirus/,20/03/2020 22:04:48,9,,16,,,,,,0,,,0,0,9,,,,,,,,,,,7,1
Südliche Weinstraße,Landkreis,7337,28,0%,28,,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,https://msagd.rlp.de/de/unsere-themen/gesundheit-und-pflege/gesundheitliche-versorgung/oeffentlicher-gesundheitsdienst-hygiene-und-infektionsschutz/infektionsschutz/informationen-zum-coronavirus-sars-cov-2/,20/03/2020 22:04:48,28,,,,,,,,0,,,0,0,28,,,beinhaltet Landau mit 32 (4=Landau),,,,,,,,7,1
Südwestpfalz,Landkreis,7340,11,267%,11,,https://www.lksuedwestpfalz.de/aktuelles/nachrichten/2020/maerz/coronavirus-erster-positiver-fall/,https://www.lksuedwestpfalz.de/aktuelles/nachrichten/2020/maerz/coronavirus-erster-positiver-fall/,20/03/2020 23:47:52,11,,E,,,,,,0,,,0,0,11,,,,,,,,,,,7,1
Trier,Kreisfreie Stadt,7211,13,8%,13,,https://www.trier-saarburg.de/,https://www.trier.de/rathaus-buerger-in/aktuelles/trier.de-news/coronavirus/,20/03/2020 16:50:00,13,,,,,,,,0,,,0,0,13,,,,,,,,,,,7,1
Trier-Saarburg,Landkreis,7235,20,5%,20,,https://www.trier-saarburg.de/,https://www.trier-saarburg.de/news/Corona-PM3,20/03/2020 23:47:52,20,,,,,,,,0,,,0,0,20,,,,,,,,,,,7,1
Vulkaneifel,Landkreis,7233,28,40%,28,,https://www.vulkaneifel.de/aktuelles/aktuelles-aus-rat-und-verwaltung/weitere-bestaetigte-corona-faelle-im-landkreis-vulkaneifel.html,https://www.vulkaneifel.de/aktuelles.html,20/03/2020 23:47:52,28,,,,,,,,0,,,0,0,28,,,,,,,,,,,7,1
Westerwaldkreis,Landkreis,7143,78,44%,78,,https://www.westerwaldkreis.de/aktuelles-detailansicht/gesundheitsamt-informiert.html,https://www.westerwaldkreis.de/aktuelles-detailansicht/gesundheitsamt-informiert.html,20/03/2020 23:47:52,78,,,,1,,,,0,,,0,0,78,,,,,,,,,,,7,1
Worms,Kreisfreie Stadt,7319,22,0%,22,,https://www.worms.de/de/aktuelles/stadtnachrichten/2020-03-12-16-26-24.php#anchor_25a7a48d_Accordion-Kindergaerten-und-Kindertagesstaetten,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/meldungen/2020_03_18_3780787059_meldung.php,20/03/2020 22:04:48,22,,,,,,,,0,,,0,0,22,,,,,,,,,,,7,1
Zweibrücken,Kreisfreie Stadt,7320,2,NEU,2,,http://www.lkswp.de/corona-info,http://www.lkswp.de/corona-info,20/03/2020 23:47:51,2,,,,,,,,0,,,0,0,2,,,,,,,,,,,7,
Alb-Donau-Kreis,Landkreis,8425,57,33%,57,,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,20/03/2020 15:30:00,57,,,0,,,,,0,,,0,0,57,,,,,,,,,,,8,1
