"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 21.03 00:00,Änderungsrate (24 Std. bis 21.03 00:00),Coronavirus Fälle heute (verifiziert),CV-Fälle Tagespiegel Verifizierung,Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),"Coronavirus Fälle heute (verifiziert, blockiert) 23:25","Coronavirus Todesfälle heute (verifiziert, blockiert)",Todesfall Quelle,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Celle,Landkreis,3351,36,33%,36,,https://www.cellesche-zeitung.de/Celle/Aus-der-Stadt/Celle-Stadt/Celle-wegen-Coronavirus-im-Krisenmodus-Geschaeft-in-Innenstadt-geschlossen,https://www.cellesche-zeitung.de/Celle/Aus-der-Stadt/Celle-Stadt/Celle-wegen-Coronavirus-im-Krisenmodus-Geschaeft-in-Innenstadt-geschlossen,20/03/2020 22:00:00,36,5,217,,,,,,0,,,0,0,36,,,,,,,,,,,3,1
Cloppenburg,Landkreis,3453,9,200%,9,5,https://lkclp.de/gesundheit-soziales/gesundheit/aktuelles-zum-coronavirus--fragen-und-antworten.php?back=true,https://lkclp.de/gesundheit-soziales/gesundheit/aktuelles-zum-coronavirus--fragen-und-antworten.php?back=true,20/03/2020 22:00:00,9,,,,,,,,0,,,0,0,9,,,,,,,,,,,3,1
Cuxhaven,Landkreis,3352,28,0%,28,,https://www.landkreis-cuxhaven.de/Corona,https://www.landkreis-cuxhaven.de/Corona,20/03/2020 22:00:00,28,2,,,,,,,0,,,0,0,28,,,,,,,,,,,3,1
Delmenhorst,Kreisfreie Stadt,3401,8,14%,8,8,https://www.delmenhorst.de/aktuelles/coronavirus.php,https://www.delmenhorst.de/aktuelles/coronavirus.php,20/03/2020 14:30:00,8,,44,1,,,,,0,,,0,0,8,,,,,,,,,,,3,1
Diepholz,Landkreis,3251,63,34%,63,63,https://www.diepholz.de/portal/meldungen/einheitliches-vorgehen-zur-eindaemmung-des-coronavirus-900004957-21750.html?rubrik=900000022,https://www.diepholz.de/portal/meldungen/einheitliches-vorgehen-zur-eindaemmung-des-coronavirus-900004957-21750.html?rubrik=900000022,20/03/2020 10:30:00,63,,,,,,,,0,,,0,0,63,,,,,,,,,,,3,1
Emden,Kreisfreie Stadt,3402,7,0%,7,,https://www.emden.de/aktuell/coronavirus,https://www.emden.de/rathaus/verwaltung/verwaltungsvorstand/video,20/03/2020 22:04:48,7,,47,,,,,,0,,,0,0,7,,,,,,,,,,,3,1
Emsland,Landkreis,3454,56,10%,56,56,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,20/03/2020 10:00:00,56,,700,,,,,,0,,,0,0,56,,,,,,,,,,,3,1
Friesland,Landkreis,3455,3,0%,3,,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,20/03/2020 22:04:48,3,,,,,,,,0,,,0,0,3,,,,,,,,,,,3,1
Gifhorn,Landkreis,3151,32,23%,32,,https://www.gifhorn.de/der-landkreis/presseportal/presseinformationen/artikel-bekanntmachung/news/aktuelle-informationen-zum-coronavirus/,https://www.gifhorn.de/start/nachricht-startseite/news/aktuelle-lage-zum-coronavirus-11/,20/03/2020 22:00:00,32,,116,,,,,,0,,,0,0,32,,,,,,,,,,,3,1
Goslar,Landkreis,3153,18,29%,18,16,https://www.harzkurier.de/lokales/osterode/article228725919/32-bestaetigte-Corona-Faelle-im-Landkreis-bis-Mittwochabend.html,https://www.landkreis-goslar.de/media/custom/94_6283_1.PDF?1584522010,20/03/2020 22:00:00,18,,,,,,,,0,,,0,0,18,,,,,,,,,,,3,1
Göttingen,Landkreis,3159,51,13%,51,,https://www.goettingen.de/aktuelles/coronavirus-das-gesundheitsamt-informiert-2020-02-17.html,https://www.goettingen.de/aktuelles/coronavirus-32-menschen-in-stadt-und-landkreis-goettingen-infiziert-2020-03-18.html,20/03/2020 15:00:00,51,,,,,,,,0,,,0,0,51,,,,,,,,,,,3,1
Grafschaft Bentheim,Landkreis,3456,23,0%,23,,https://www.grafschaft-bentheim.de/magazin/artikel.php?artikel=6041&type=2&menuid=893&topmenu=893,https://www.grafschaft-bentheim.de/magazin/magazin.php?menuid=893&topmenu=893,20/03/2020 22:00:00,23,,150,,,,,,0,,,0,0,23,,,,,,,,,,,3,1
Hameln-Pyrmont,Landkreis,3252,23,21%,23,,"https://www.hameln-pyrmont.de/Schnellnavigation/Startseite/23-Corona-Fälle-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2749.5606.1&NavID=2561.7&La=1","https://www.hameln-pyrmont.de/Schnellnavigation/Startseite/9-Corona-F%C3%A4lle-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2749.5589.1&NavID=2561.7",20/03/2020 22:00:00,23,,110,,,,,,0,,,0,0,23,,,,,,,,,,,3,1
Harburg,Landkreis,3353,62,29%,62,61,https://www.landkreis-harburg.de/corona,https://www.landkreis-harburg.de/corona,20/03/2020 22:00:00,62,,,,,,,,0,,,0,0,62,,,,,,,,,,,3,1
Heidekreis,Landkreis,3358,4,0%,4,,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/infektionsschutzgesetz/neuartiges-coronavirus.aspx,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/infektionsschutzgesetz/neuartiges-coronavirus.aspx,20/03/2020 19:51:15,4,,,,,,,,0,,,0,0,4,,,,,,,,,,,3,1
Helmstedt,Landkreis,3154,9,0%,9,,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,20/03/2020 22:04:48,9,,,,,,,,0,,,0,0,9,,,,,,,,,,,3,1
Hildesheim,Landkreis,3254,89,6%,89,,https://www.landkreishildesheim.de/,"https://www.landkreishildesheim.de/-Landkreis-Aktuelle-Zahlen-zum-Coronavirus.php?object=tx,2829.5&ModID=7&mobile=off&FID=2829.3127.1",20/03/2020 22:04:48,89,,426,,,,,,0,,,0,0,89,,,,,,,,,,,3,1
Holzminden,Landkreis,3255,23,21%,23,,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005,20/03/2020 22:04:48,23,,,,,,,,0,,,0,0,23,,,,,,,,,,,3,1
Leer,Landkreis,3457,12,0%,12,,https://www.landkreis-leer.de/,https://www.landkreis-leer.de/Leben-Lernen/Coronavirus,20/03/2020 22:04:48,12,1,,1,,,,,0,,,0,0,12,,,,,,,,,,,3,1
