"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 20.03 00:00,Änderungsrate (24 Std.),Coronavirus Fälle heute (verifiziert),Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Emsland,Landkreis,3454,51,19%,51,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,19/03/2020 23:59:00,51,,,,,,,,0,,,0,0,,,,,,,,,3,1
Friesland,Landkreis,3455,3,0%,3,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,19/03/2020 23:59:00,3,,,,,,,,0,,,0,0,,,,,,,,,3,1
Gifhorn,Landkreis,3151,26,13%,26,https://www.gifhorn.de/der-landkreis/presseportal/presseinformationen/artikel-bekanntmachung/news/aktuelle-informationen-zum-coronavirus/,https://www.gifhorn.de/start/nachricht-startseite/news/aktuelle-lage-zum-coronavirus-11/,19/03/2020 23:59:00,26,,116,,,,,,0,,,0,0,,,,,,,,,3,1
Goslar,Landkreis,3153,14,0%,14,https://www.harzkurier.de/lokales/osterode/article228725919/32-bestaetigte-Corona-Faelle-im-Landkreis-bis-Mittwochabend.html,https://www.landkreis-goslar.de/media/custom/94_6283_1.PDF?1584522010,19/03/2020 23:59:00,14,,,,,,,,0,,,0,0,,,,,,,,,3,1
Göttingen,Landkreis,3159,45,41%,45,https://www.goettingen.de/aktuelles/coronavirus-das-gesundheitsamt-informiert-2020-02-17.html,https://www.goettingen.de/aktuelles/coronavirus-32-menschen-in-stadt-und-landkreis-goettingen-infiziert-2020-03-18.html,19/03/2020 23:59:00,45,,,,,,,,0,,,0,0,,,,,,,,,3,1
Grafschaft Bentheim,Landkreis,3456,23,53%,23,https://www.grafschaft-bentheim.de/magazin/artikel.php?artikel=6041&type=2&menuid=893&topmenu=893,https://www.grafschaft-bentheim.de/magazin/magazin.php?menuid=893&topmenu=893,19/03/2020 23:59:00,23,,,,,,,,0,,,0,0,,,,,,,,,3,1
Hameln-Pyrmont,Landkreis,3252,19,46%,19,"https://www.hameln-pyrmont.de/Schnellnavigation/Startseite/9-Corona-F%C3%A4lle-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2749.5589.1&NavID=2561.7","https://www.hameln-pyrmont.de/Schnellnavigation/Startseite/9-Corona-F%C3%A4lle-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2749.5589.1&NavID=2561.7",19/03/2020 23:59:00,19,,,,,,,,0,,,0,0,,,,,,,,,3,1
Harburg,Landkreis,3353,48,23%,48,https://www.landkreis-harburg.de/corona,https://www.landkreis-harburg.de/corona,19/03/2020 23:59:00,48,,,,,,,,0,,,0,0,,,,,,,,,3,1
Heidekreis,Landkreis,3358,4,100%,4,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/infektionsschutzgesetz/neuartiges-coronavirus.aspx,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/infektionsschutzgesetz/neuartiges-coronavirus.aspx,19/03/2020 23:59:00,4,,,,,,,,0,,,0,0,,,,,,,,,3,1
Helmstedt,Landkreis,3154,9,80%,9,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,19/03/2020 17:25:00,9,,,,,,,,0,,,0,0,,,,,,,,,3,1
