"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 20.03 00:00,Änderungsrate (24 Std.),Coronavirus Fälle heute (verifiziert),Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Offenbach,Landkreis,6438,50,43%,50,"https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona/Kreisverwaltung-schlie%C3%9Ft-f%C3%BCr-das-Publikum-komplett.php?object=tx,2896.5&ModID=7&FID=2896.8447.1&NavID=2896.1061&La=1",https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,18/03/2020 00:00:00,50,,,,1,,,,0,,,0,0,,,,,,,,,6,1
Offenbach am Main,Kreisfreie Stadt,6413,5,0%,5,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/coronavirus.php#c0,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/coronavirus.php#c0,19/03/2020 23:59:00,5,,,,,,,,0,,,0,0,,,,,,,,,6,1
Rheingau-Taunus-Kreis,Landkreis,6439,32,19%,32,https://www.rheingau-taunus.de/aktuelles/hinweise/detail/informationen-zum-coronavirus.html,https://www.rheingau-taunus.de/aktuelles/hinweise/detail/informationen-zum-coronavirus.html,19/03/2020 18:05:00,32,,,,,,,,0,,,0,0,,,,,,,,,6,1
Schwalm-Eder-Kreis,Landkreis,6634,62,15%,62,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,"19. März 2020, 15:45 Uhr",62,,,,,,,,0,,,0,0,,,,,,,,,6,1
Vogelsbergkreis,Landkreis,6535,15,67%,15,https://www.vogelsbergkreis.de/kreisverwaltung/presse/ansicht.html?tx_ttnews%5Btt_news%5D=8565&cHash=356a8df8b497242be96eb2f519321ea3,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,19/03/2020 18:07:00,15,,,,,,,,0,,,0,0,,,,,,,,,6,1
Waldeck-Frankenberg,Landkreis,6635,21,17%,21,https://www.landkreis-waldeck-frankenberg.de/city_info/webaccessibility/index.cfm?modul_id=2&record_id=109129,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,19/03/2020 14:00:00,21,,,,,,,,0,,,0,0,,,,,,,,,6,1
Werra-Meißner-Kreis,Landkreis,6636,1,0%,1,https://www.werra-meissner-kreis.de/fileadmin/01_Homepage_Kreisverwaltung/Fachbereiche_und_Einrichtungen/VL_Stab_Verwaltungsleitung_und_-steuerung/POE_Presse_und_Oeffentlichkeitsarbeit_Buergerreferent_Kultur/Presse-_und_OEffentlichkeitsarbeit/Pressemitteilungen/Pressemitteilungen_2020/03_Maerz/20.03.16_Erster_Coronafall_WMK.pdf,https://www.werra-meissner-kreis.de/fileadmin/01_Homepage_Kreisverwaltung/Fachbereiche_und_Einrichtungen/VL_Stab_Verwaltungsleitung_und_-steuerung/POE_Presse_und_Oeffentlichkeitsarbeit_Buergerreferent_Kultur/Presse-_und_OEffentlichkeitsarbeit/Pressemitteilungen/Pressemitteilungen_2020/03_Maerz/20.03.16_Erster_Coronafall_WMK.pdf,19/03/2020 23:59:00,1,,,,,,,,0,,,0,0,,,,,,,,,6,1
Wetteraukreis,Landkreis,6440,26,73%,26,https://www.wetteraukreis.de/aktuelles/corona/pressemitteilungen-corona/detail/news/gemeinsames-schreiben-der-kreisspitze-zu-corona/,https://www.wetteraukreis.de/aktuelles/corona/pressemitteilungen-corona/detail/news/gemeinsames-schreiben-der-kreisspitze-zu-corona/,19/03/2020 14:00:00,26,,,,,,,,0,,,0,0,,,,,,,,,6,1
Wiesbaden,Kreisfreie Stadt,6414,48,118%,48,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus.php,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus.php,19/03/2020 16:00:00,48,,3000,,1,,,,0,,,0,0,,,,,,,,,6,1
Ahrweiler,Landkreis,7131,24,33%,24,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9069,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9072,19/03/2020 23:59:00,24,,121,0,,,,,0,,,0,0,20,,,,,,,,7,1
Altenkirchen (Westerwald),Landkreis,7132,11,-15%,11,"https://www.kreis-altenkirchen.de/INTERNET/Quicknavigation/Startseite-Kreis-Altenkirchen/Corona-Landkreis-Altenkirchen-will-Klarheit-zu-Veranstaltungsabsagen.php?object=tx,2154.7&ModID=7&FID=2333.4870.1&NavID=2154.2&NavID=2154.12","https://www.kreis-altenkirchen.de/INTERNET/Quicknavigation/Startseite-Kreis-Altenkirchen/Corona-Landkreis-Altenkirchen-will-Klarheit-zu-Veranstaltungsabsagen.php?object=tx,2154.7&ModID=7&FID=2333.4870.1&NavID=2154.2&NavID=2154.12",19/03/2020 16:40:00,11,,,0,,,,,0,,,0,0,,,,,,,,,7,1
Alzey-Worms,Landkreis,7331,49,104%,49,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/corona-virus.php,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/meldungen/2020_03_18_3780787059_meldung.php,19/03/2020 12:20:00,49,,,,,,,,0,,,0,0,33,3/19/2020 21:12,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/meldungen/2020_03_19_1826517263_meldung.php,,,,,,7,1
Bad Dürkheim,Landkreis,7332,48,37%,48,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,#############,48,,,,,,,,0,,,0,0,,,,,,,,,7,1
Bad Kreuznach,Landkreis,7133,30,20%,30,https://www.kreis-badkreuznach.de/kreisverwaltung/organisation/amt-7-gesundheitsamt/coronavirus/aktuellste-meldung-aus-dem-landkreis/,https://www.kreis-badkreuznach.de/kreisverwaltung/organisation/amt-7-gesundheitsamt/coronavirus/aktuellste-meldung-aus-dem-landkreis/,19/03/2020 16:40:00,30,,,,,,,,0,,,0,0,,,,,,,,,7,1
Bernkastel-Wittlich,Landkreis,7231,16,78%,16,https://www.bernkastel-wittlich.de/aktuelles/details/news/zwei-weitere-covid-19-faelle-im-landkreis-bernkastel-wittlich/,https://www.bernkastel-wittlich.de/aktuelles/details/news/zwei-weitere-covid-19-faelle-im-landkreis-bernkastel-wittlich/,19/03/2020 16:40:00,16,,,,,,,,0,,,0,0,,,,,,,,,7,1
Birkenfeld,Landkreis,7134,5,150%,5,https://www.birkenfeld-enzkreis.de/buergerservice/corona/aktuelle-informationen-zum-corona-virus-id_2629/,https://www.birkenfeld-enzkreis.de/buergerservice/corona/aktuelle-informationen-zum-corona-virus-id_2629/,19/03/2020 16:40:00,5,,,,,,,,0,,,0,0,,,,,,,,,7,1
Cochem-Zell,Landkreis,7135,38,9%,38,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Informationen%20%C3%BCber%20das%20Coronavirus/Gesundheitsamt%20informiert%20%C3%BCber%20den%20aktuellen%20Stand%20der%20Corona-F%C3%A4lle%20im%20Landkreis%20und%20appelliert%20weiterhin%20an%20die%20Eigenverantwortung/,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Aktuelle%20Coronafallzahlen%20im%20Landkreis%20Cochem-Zell/,19/03/2020 16:40:00,38,,,,,,,,0,,,0,0,,,,,,,,,7,1
Donnersbergkreis,Landkreis,7333,13,8%,13,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/M%C3%A4rz/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20M%C3%A4rz/,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/März/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20März/,19/03/2020 16:40:00,13,,,,,,,,0,,,0,0,,,,,,,,,7,1
Eifelkreis Bitburg-Prüm,Landkreis,7232,29,38%,29,https://www.bitburg-pruem.de/cms/aktuell/pressemitteilungen,https://www.bitburg-pruem.de/cms/aktuell/pressemitteilungen,19/03/2020 16:40:00,29,,,,,,,,0,,,0,0,,,,,,,,,7,1
Frankenthal (Pfalz),Kreisfreie Stadt,7311,8,167%,8,https://www.facebook.com/Stadt.Frankenthal.Pfalz,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,19/03/2020 16:40:00,8,,,,,,,,0,,,0,0,,,,,,,,,7,1
Germersheim,Landkreis,7334,24,20%,24,https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Coronavirus%20-%20Zehn%20positive%20F%C3%A4lle%20im%20Landkreis%20Germersheim%20best%C3%A4tigt/,https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Coronavirus%20-%2020%20positive%20Fälle%20im%20Landkreis%20Germersheim%20bestätigt/,19/03/2020 16:40:00,24,,,,,,,,0,,,0,0,,,,,,,,,7,1
Kaiserslautern,Kreisfreie Stadt,7312,13,18%,13,https://www.kaiserslautern-kreis.de/aktuelles.html,https://www.kaiserslautern-kreis.de/aktuelles.html,20/03/2020 08:13:00,13,,,,,,,,0,,,0,0,,,,,,,,,7,1
Kaiserslautern,Landkreis,7335,13,18%,13,https://www.kaiserslautern-kreis.de/aktuelles.html,https://www.kaiserslautern-kreis.de/aktuelles.html,"18. März, 17:00 Uhr",13,,,,,,,,0,,,0,0,,,,,,,,,7,1
Koblenz,Kreisfreie Stadt,7111,42,17%,42,https://www.koblenz.de/aktuelles/coronavirus/,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,20/03/2020 08:13:00,42,,,,,,,,0,,,0,0,,,,,,,,,7,1
Kusel,Landkreis,7336,18,0%,18,https://landkreis-kusel.de/no_cache/aktuelles/news.html,https://landkreis-kusel.de/aktuelles/coronavirus-wichtige-hinweise-und-aktuelle-informationen/aktuelle-informationen.html,19/03/2020 23:59:00,18,,,,,,,,0,,,0,0,,,,,,,,,7,1
Landau in der Pfalz,Kreisfreie Stadt,7313,4,100%,4,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,20/03/2020 08:13:00,4,,,,,,,,0,,,0,0,,,,,,,,,7,1
Ludwigshafen am Rhein,Kreisfreie Stadt,7314,12,20%,12,https://www.ludwigshafen.de/buergernah/buergerservice/informationen-zum-coronavirus/informationen-des-gesundheitsamts-des-rhein-pfalz-kreises/,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,19/03/2020 16:40:00,12,,,,,,,,0,,,0,0,,,,,,,,,7,1
Mainz,Kreisfreie Stadt,7315,45,29%,45,https://mainz.de/verwaltung-und-politik/buergerservice-online/schutz-gegen-corona-infektionen.php,https://msagd.rlp.de/de/unsere-themen/gesundheit-und-pflege/gesundheitliche-versorgung/oeffentlicher-gesundheitsdienst-hygiene-und-infektionsschutz/infektionsschutz/informationen-zum-coronavirus-sars-cov-2/,19/03/2020 16:40:00,45,,,,,,,,0,,,0,0,,,,,,,,,7,1
Mainz-Bingen,Landkreis,7339,30,25%,30,https://www.mainz-bingen.de/de/aktuelles/Corona.php,https://www.mainz-bingen.de/de/aktuelles/Corona.php,19/03/2020 16:40:00,30,,,,,,,,0,,,0,0,,,,,,,,,7,1
Mayen-Koblenz,Landkreis,7137,102,13%,102,https://www.kvmyk.de/kv_myk/Slideshow/Corona-Ticker/,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,19/03/2020 16:40:00,102,,,,,,,,0,,,0,0,,,,,,,,,7,1
Neustadt an der Weinstraße,Kreisfreie Stadt,7316,8,14%,8,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,https://msagd.rlp.de/de/unsere-themen/gesundheit-und-pflege/gesundheitliche-versorgung/oeffentlicher-gesundheitsdienst-hygiene-und-infektionsschutz/infektionsschutz/informationen-zum-coronavirus-sars-cov-2/,19/03/2020 20:30:00,8,,,,,,,,0,,,0,0,,,,,,,,,7,1
Neuwied,Landkreis,7138,52,44%,52,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/Vierzehnter%20Coronafall%20im%20Landkreis%20Neuwied%20-%20%20Hygienema%C3%9Fnahmen%20beachten%20-%20Hinweise%20der%20Kassen%C3%A4rztlichen%20Vereinigung/,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/Vierzehnter%20Coronafall%20im%20Landkreis%20Neuwied%20-%20%20Hygienema%C3%9Fnahmen%20beachten%20-%20Hinweise%20der%20Kassen%C3%A4rztlichen%20Vereinigung/,19/03/2020 16:40:00,52,,,,,,,,0,,,0,0,,,,,,,,,7,1
Pirmasens,Kreisfreie Stadt,7317,1,NEU,1,https://www.pirmasens-land.de/vg_pirmasens_land/Aktuelles/Aktuelle%20Elterninformation%20zur%20Schlie%C3%9Fung%20der%20Kindertagesst%C3%A4tten%20in%20Rheinland-Pfalz/,https://www.pirmasens-land.de/vg_pirmasens_land/Aktuelles/Aktuelle%20Elterninformation%20zur%20Schlie%C3%9Fung%20der%20Kindertagesst%C3%A4tten%20in%20Rheinland-Pfalz/,19/03/2020 00:00:00,1,,,,,,,,0,,,0,0,,,,,,,,,7,1
Rhein-Hunsrück-Kreis,Landkreis,7140,39,18%,39,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,19/03/2020 16:40:00,39,,,,,,,,0,,,0,0,39,20/03/2020 11:53:08,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,@MKayCedar,,,,,7,1
Rhein-Lahn-Kreis,Landkreis,7141,27,4%,27,https://www.rhein-lahn-kreis.de/aktuelles/corona/corona-aktueller-stand-15-3/,https://www.rhein-lahn-kreis.de/aktuelles/corona/corona-aktueller-stand-18-3/,19/03/2020 16:40:00,27,,,,,,,,0,,,0,0,,,,,,,,,7,1
Rhein-Pfalz-Kreis,Landkreis,7338,7,40%,7,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,19/03/2020 16:40:00,7,,,,,,,,0,,,0,0,,,,,,,,,7,1
Speyer,Kreisfreie Stadt,7318,8,60%,8,https://www.speyer.de/sv_speyer/de/Rathaus/Medien-Infos/Aktuelle%20Infos/Aktuelle%20Informationen%20zum%20Coronavirus/,https://www.speyer.de/sv_speyer/de/Rathaus/Medien-Infos/Aktuelle%20Infos/Aktuelle%20Informationen%20zum%20Coronavirus/,19/03/2020 16:40:00,8,,,,,,,,0,,,0,0,,,,,,,,,7,1
Südliche Weinstraße,Landkreis,7337,28,33%,28,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,https://msagd.rlp.de/de/unsere-themen/gesundheit-und-pflege/gesundheitliche-versorgung/oeffentlicher-gesundheitsdienst-hygiene-und-infektionsschutz/infektionsschutz/informationen-zum-coronavirus-sars-cov-2/,19/03/2020 16:40:00,28,,,,,,,,0,,,0,0,beinhaltet Landau mit 32 (4=Landau),,,,,,,,7,1
Südwestpfalz,Landkreis,7340,3,-50%,3,https://www.lksuedwestpfalz.de/aktuelles/nachrichten/2020/maerz/coronavirus-erster-positiver-fall/,https://www.lksuedwestpfalz.de/aktuelles/nachrichten/2020/maerz/coronavirus-erster-positiver-fall/,19/03/2020 16:40:00,3,,E,,,,,,0,,,0,0,,,,,,,,,7,1
Trier,Kreisfreie Stadt,7211,12,20%,12,https://www.trier-saarburg.de/,https://www.trier.de/rathaus-buerger-in/aktuelles/trier.de-news/coronavirus/,19/03/2020 16:40:00,12,,,,,,,,0,,,0,0,,,,,,,,,7,1
Trier-Saarburg,Landkreis,7235,19,27%,19,https://www.trier-saarburg.de/,https://www.trier-saarburg.de/news/Corona-PM3,19/03/2020 16:40:00,19,,,,,,,,0,,,0,0,,,,,,,,,7,1
Vulkaneifel,Landkreis,7233,20,18%,20,https://www.vulkaneifel.de/aktuelles/aktuelles-aus-rat-und-verwaltung/weitere-bestaetigte-corona-faelle-im-landkreis-vulkaneifel.html,https://www.vulkaneifel.de/aktuelles.html,19/03/2020 16:40:00,20,,,,,,,,0,,,0,0,,,,,,,,,7,1
Westerwaldkreis,Landkreis,7143,54,0%,54,https://www.westerwaldkreis.de/aktuelles-detailansicht/gesundheitsamt-informiert.html,https://www.westerwaldkreis.de/aktuelles-detailansicht/gesundheitsamt-informiert.html,19/03/2020 23:59:00,54,,,,1,,,,0,,,0,0,,,,,,,,,7,1
Worms,Kreisfreie Stadt,7319,22,38%,22,https://www.worms.de/de/aktuelles/stadtnachrichten/2020-03-12-16-26-24.php#anchor_25a7a48d_Accordion-Kindergaerten-und-Kindertagesstaetten,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/meldungen/2020_03_18_3780787059_meldung.php,19/03/2020 16:40:00,22,,,,,,,,0,,,0,0,,,,,,,,,7,1
Zweibrücken,Kreisfreie Stadt,7320,0,0%,0,http://www.lkswp.de/corona-info,http://www.lkswp.de/corona-info,19/03/2020 23:59:00,0,,,,,,,,0,,,0,0,,,,,,,,,7,
Alb-Donau-Kreis,Landkreis,8425,43,23%,43,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,19/03/2020 16:40:00,43,,,0,,,,,0,,,0,0,,,,,,,,,8,1
Baden-Baden,Stadtkreis,8211,19,36%,19,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,https://www.landkreis-rastatt.de/site/kreis-rastatt/get/documents_E937746122/kreis-rastatt/Objekte/02_Landratsamt/pdf-Dateien/Gesundheitsamt/CORONA_Grafische%20Darstellung%20Landkreis%20Rastatt%20und%20Stadtkreis%20Baden-Baden.pdf,19/03/2020 12:00:00,19,,,,,,,,0,,,0,0,28 (muss mit Rastatt passen),,,,,,,,8,1
Biberach,Landkreis,8426,55,22%,55,https://www.biberach.de/aktuelles/presse/pressemitteilungen-2020/detailansicht-2020/article/corona-teilnehmer-einer-gemeinderatssitzung-positiv-getestet.html,https://www.biberach.de/aktuelles/presse/pressemitteilungen-2020/detailansicht-2020/article/corona-teilnehmer-einer-gemeinderatssitzung-positiv-getestet.html,19/03/2020 16:40:00,55,,,,,,,,0,,,0,0,,,,,,,,,8,1
Böblingen,Landkreis,8115,105,59%,105,https://www.krzbb.de/krz_50_111859080-13-_Corona-Oeffentliches-Leben-im-Kreis-Boeblingen-wird-weiter-eingeschraenkt.html,https://www.krzbb.de/krz_50_111859080-13-_Corona-Oeffentliches-Leben-im-Kreis-Boeblingen-wird-weiter-eingeschraenkt.html,19/03/2020 23:59:00,105,,,,,,,,0,,,0,0,,,,,,,,,8,1
Bodenseekreis,Landkreis,8435,75,14%,75,https://www.swr.de/swraktuell/baden-wuerttemberg/friedrichshafen/coronafaelle-bodensee-oberschwaben-100.html,https://www.bodenseekreis.de/de/soziales-gesundheit/gesundheit/infektionsschutz/infektionskrankheiten/corona-virus/,19/03/2020 23:59:00,75,,327,,,,,,0,,,0,0,,,,,,,,,8,1
Breisgau-Hochschwarzwald,Landkreis,8315,126,42%,126,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,19/03/2020 23:35:00,145,,,,,,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,,19,,,0,0,,,,,,,,,8,1.150793651
Calw,Landkreis,8235,92,19%,92,"https://www.kreis-calw.de/Schnellnavigation/Startseite/19-weitere-Corona-F%C3%A4lle-im-Landkreis-Calw.php?object=tx,2442.14&ModID=7&FID=2442.12277.1","https://www.kreis-calw.de/Schnellnavigation/Startseite/Zehn-weitere-Corona-F%C3%A4lle-im-Landkreis-Calw.php?object=tx,2442.14&ModID=7&FID=2442.12274.1",19/03/2020 23:59:00,92,,,,,,,,0,,,0,0,,,,,,,,,8,1
Emmendingen,Landkreis,8316,100,45%,100,https://www.landkreis-emmendingen.de/aktuelles/nachrichten-aus-dem-landkreis/?tx_hwnews_hwnews%5BnewsartikelId%5D=682&tx_hwnews_hwnews%5Baction%5D=show&tx_hwnews_hwnews%5Bcontroller%5D=Newsartikel&cHash=80a38d6febd9dd1cf9d2619f41901d1c,https://www.landkreis-emmendingen.de/aktuelles/nachrichten-aus-dem-landkreis/?tx_hwnews_hwnews%5BnewsartikelId%5D=678&tx_hwnews_hwnews%5BcurrentPage%5D=1&tx_hwnews_hwnews%5Baction%5D=show&tx_hwnews_hwnews%5Bcontroller%5D=Newsartikel&cHash=aab4f31affa2b99c5b9059e772a932e4,19/03/2020 23:59:00,100,,,,2,,,,0,,,0,0,,,,,,,,,8,1
Enzkreis,Landkreis,8236,21,75%,21,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",19/03/2020 12:50:00,21,,,,,,,,0,,,0,0,,,,,,,,,8,1
Esslingen,Landkreis,8116,234,14%,234,https://www.landkreis-esslingen.de/start/kultur/caz+stark+ueberlastet.html,https://www.landkreis-esslingen.de/start/kultur/caz+stark+ueberlastet.html,19/03/2020 23:59:00,234,,,,2,,,,0,,,0,0,,,,,,,,,8,1
Freiburg im Breisgau,Stadtkreis,8311,121,41%,121,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,19/03/2020 23:59:00,158,,,,,,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,,37,,,0,0,,,,,,,,,8,1.305785124
Freudenstadt,Landkreis,8237,14,0%,14,https://www.landkreis-freudenstadt.de/Startseite/Aktuell/coronavirus.html,https://www.landkreis-freudenstadt.de/Startseite/Aktuell/coronavirus.html,19/03/2020 23:59:00,14,,,,,,,,0,,,0,0,,,,,,,,,8,1
Göppingen,Landkreis,8117,101,25%,101,https://www.landkreis-goeppingen.de/start/_Aktuelles/coronavirus.html,https://filstalwelle.de/shortnews/2020-03-18-landkreis-goeppingen-81-personen-mit-corna-virus-infiziert,19/03/2020 23:59:00,101,,,,1,,,,0,,,0,0,,,,,,,,,8,1
Heidelberg,Stadtkreis,8221,57,21%,57,https://www.heidelberg.de/hd/corona-virus_+die+lage+in+heidelberg.html,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",19.03.2020 15:40,57,,130,,,,,,0,,,0,0,,,,,,,,,8,1
Heidenheim,Landkreis,8135,40,8%,40,https://www.info-corona-lrahdh.de/startseite,https://www.info-corona-lrahdh.de/startseite,19/03/2020 23:59:00,40,,,,,,,,0,,,0,0,,,,,,,,,8,1
Heilbronn,Stadtkreis,8121,19,46%,19,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,19/03/2020 23:59:00,19,,,,1,,,,0,,,0,0,,,,,,,,,8,1
Heilbronn,Landkreis,8125,113,0%,113,https://www.landkreis-heilbronn.de/informationen-zum-coronavirus.44148.htm,https://www.landkreis-heilbronn.de/informationen-zum-coronavirus.44148.htm,19/03/2020 23:59:00,113,,,,,,,,0,,,0,0,,,,,,,,,8,1
Hohenlohekreis,Landkreis,8126,178,7%,178,https://www.corona-im-hok.de/,https://www.hohenlohekreis.de/index.php?id=291&publish[id]=1110500&publish[start]=,19/03/2020 23:59:00,178,,,,1,,,,0,,,0,0,,,,,,,,,8,1
Karlsruhe,Stadtkreis,8212,55,28%,55,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,19/03/2020 23:59:00,55,,,,,,,,0,,,0,0,154 total (Stadt und Land),,,,,,,,8,1
Karlsruhe,Landkreis,8215,99,29%,99,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,19/03/2020 23:59:00,99,,,,,,,,0,,,0,0,154 total (Stadt und Land),,,,,,,,8,1
